year,runtime,director,star,rating
2002,124,Phil Alden Robinson,Ben Affleck,6.4
2014,102,Dean DeBlois,Jay Baruchel,7.8
2019,99,Brian Kirk,Chadwick Boseman,6.6
2015,103,John Erick Dowdle,Lake Bell,6.7
2008,92,Nicolas Winding Refn,Tom Hardy,7.0
2010,98,Tony Scott,Denzel Washington,6.8
2015,122,Ron Howard,Chris Hemsworth,6.9
2014,126,Patrick Hughes,Sylvester Stallone,6.1
2002,138,Randall Wallace,Mel Gibson,7.1
2001,92,Joe Johnston,Sam Neill,5.9
2006,135,Clint Eastwood,Ryan Phillippe,7.1
2012,103,McG,Reese Witherspoon,6.3
2011,101,Gareth Evans,Iko Uwais,7.6
2004,98,Trey Parker,Trey Parker,7.2
2016,83,Louis Leterrier,Sacha Baron Cohen,6.2
2017,104,Chris McKay,Will Arnett,7.3
2021,91,Tanya Wexler,Kate Beckinsale,5.6
2007,115,Paul Greengrass,Matt Damon,8.0
2012,127,Rupert Sanders,Kristen Stewart,6.1
2010,116,Mike Newell,Jake Gyllenhaal,6.6
2008,92,Peter Berg,Will Smith,6.4
2011,107,Gore Verbinski,Johnny Depp,7.2
2016,117,Paul Feig,Melissa McCarthy,6.8
2009,89,Jonathan Mostow,Bruce Willis,6.3
2013,130,Harald Zwart,Lily Collins,5.8
2023,106,David Lowery,Alexander Molony,4.4
2005,124,Breck Eisner,Matthew McConaughey,6.0
2019,98,Jason Howden,Daniel Radcliffe,6.3
2018,125,Park Hoon-jung,Kim Da-mi,7.1
2021,88,Adam Robitel,Taylor Russell,5.7
2004,119,Wes Anderson,Bill Murray,7.2
2021,104,Tim Fehlbaum,Nora Arnezeder,5.4
2002,94,Jay Roach,Mike Myers,6.2
2011,129,Guy Ritchie,Robert Downey Jr.,7.4
2018,94,Peter Berg,Mark Wahlberg,6.1
2018,159,S. Craig Zahler,Mel Gibson,6.9
2020,90,Derrick Borte,Russell Crowe,6.0
2018,115,Fede Alvarez,Claire Foy,6.1
2017,140,Matt Reeves,Andy Serkis,7.4
2014,130,Matt Reeves,Gary Oldman,7.6
2015,106,Breck Eisner,Vin Diesel,5.9
2008,93,Eric Brevig,Brendan Fraser,5.8
2007,100,Xavier Gens,Timothy Olyphant,6.2
2014,150,Ridley Scott,Christian Bale,6.0
2022,94,Le-Van Kiet,Joey King,5.6
2013,114,Bryan Singer,Nicholas Hoult,6.2
2016,129,Ben Affleck,Ben Affleck,6.4
2005,106,Tim Story,Ioan Gruffudd,5.7
2018,107,Brad Peyton,Dwayne Johnson,6.1
2014,105,Kenneth Branagh,Chris Pine,6.2
2007,113,David Slade,Josh Hartnett,6.6
2016,112,Dave Green,Megan Fox,5.9
2006,88,Mark Neveldine,Jason Statham,6.9
2008,75,Craig Mazin,Drake Bell,4.6
2022,110,Ante Novakovic,Zach McGowan,6.2
2016,118,Ana Lily Amirpour,Suki Waterhouse,5.2
2015,111,Joe Wright,Levi Miller,5.7
2022,101,Randall Emmett,Jack Huston,4.6
2002,92,Chuck Russell,Dwayne Johnson,5.5
2022,97,Akiva Schaffer,Andy Samberg,7.0
2008,128,Ridley Scott,Leonardo DiCaprio,7.0
2010,117,Joe Carnahan,Liam Neeson,6.7
2016,120,Roland Emmerich,Liam Hemsworth,5.2
2022,95,Mark Neveldine,Cole Hauser,3.4
2016,86,Jaume Collet-Serra,Blake Lively,6.3
2000,98,McG,Cameron Diaz,5.6
2008,113,Jeff Wadlow,Sean Faris,6.5
2002,92,Louis Leterrier,Jason Statham,6.8
2020,113,Henry Joost,Jamie Foxx,6.0
2014,117,José Padilha,Joel Kinnaman,6.1
2013,88,Tommy Wirkola,Jeremy Renner,6.1
2007,191,Robert Rodriguez,Kurt Russell,7.5
2000,124,Martin Campbell,Scott Glenn,5.9
2007,99,Greg McLean,Michael Vartan,6.2
2013,110,Jon M. Chu,Dwayne Johnson,5.7
2013,109,Baltasar Kormákur,Denzel Washington,6.7
2004,86,Kevin Bray,Dwayne Johnson,6.2
2017,100,Dax Shepard,Michael Peña,6.0
2000,112,Paul Verhoeven,Kevin Bacon,5.8
2015,93,Scott Mann,Robert De Niro,6.1
2016,92,Luke Scott,Kate Mara,5.8
2017,88,Alain Desrochers,Antonio Banderas,5.7
2010,105,Anton Corbijn,George Clooney,6.3
2001,112,Jerry Zucker,Breckin Meyer,6.4
2017,111,Michael Cuesta,Dylan O'Brien,6.2
2004,101,Paul W.S. Anderson,Sanaa Lathan,5.6
2003,139,Kevin Costner,Kevin Costner,7.4
2014,106,Jaume Collet-Serra,Liam Neeson,6.9
2020,92,Mikael Marcimain,Allison Williams,4.8
2010,109,James Mangold,Tom Cruise,6.3
2021,109,Martin Campbell,Michael Keaton,6.1
2009,108,Christian Alvart,Dennis Quaid,6.7
2019,114,F. Gary Gray,Chris Hemsworth,5.6
2022,110,Hansal Mehta,Jatin Sarin,3.1
2009,106,Tony Scott,Denzel Washington,6.4
2013,129,Michael Bay,Mark Wahlberg,6.4
2013,115,Mikael Håfström,Sylvester Stallone,6.7
2010,107,Nimród Antal,Adrien Brody,6.4
2013,103,Jeff Wadlow,Aaron Taylor-Johnson,6.5
2011,113,Jaume Collet-Serra,Liam Neeson,6.8
2020,118,Paul Greengrass,Tom Hanks,6.8
2002,117,Guillermo del Toro,Wesley Snipes,6.7
2013,101,Kevin Macdonald,Saoirse Ronan,6.4
2004,113,David S. Goyer,Wesley Snipes,5.8
2007,100,Walt Becker,Tim Allen,5.8
2015,120,Neill Blomkamp,Sharlto Copley,6.8
2006,87,Corey Yuen,Jaime Pressly,4.8
2016,115,John Hillcoat,Casey Affleck,6.3
2018,100,Jeff Tomsic,Jeremy Renner,6.5
2006,132,Michael Mann,Colin Farrell,6.0
2017,134,Joseph Kosinski,Josh Brolin,7.6
2018,110,Julius Avery,Jovan Adepo,6.6
2021,98,Rodo Sayagues,Stephen Lang,6.0
2016,113,Ariel Vromen,Kevin Costner,6.3
2018,96,Baltasar Kormákur,Shailene Woodley,6.6
2010,100,Phillip Noyce,Angelina Jolie,6.4
2004,118,Peter Berg,Billy Bob Thornton,7.2
2017,90,Claudio Fäh,Chad Michael Collins,5.6
2007,103,Philip G. Atwell,Jet Li,6.2
2016,111,Colm McCarthy,Sennia Nanua,6.6
2014,119,Wally Pfister,Johnny Depp,6.2
2013,109,Edgar Wright,Simon Pegg,6.9
2015,127,Lana Wachowski,Channing Tatum,5.3
2019,123,Rod Lurie,Scott Eastwood,6.8
2012,135,Tony Gilroy,Jeremy Renner,6.6
2017,107,D.J. Caruso,Vin Diesel,5.2
2016,92,James Watkins,Idris Elba,6.3
2010,133,Paul Haggis,Russell Crowe,7.3
2022,97,Edward Drake,Bruce Willis,4.0
2010,107,John Luessenhop,Chris Brown,6.2
2016,112,J Blakeson,Chloë Grace Moretz,5.2
2007,115,Robert Zemeckis,Ray Winstone,6.3
2020,93,Jonathan Milott,Lulu Wilson,5.9
2021,86,Cal Brunker,Tyler Perry,6.1
2005,93,Robert Rodriguez,Cayden Boyd,3.7
2014,110,Vic Armstrong,Nicolas Cage,3.1
2000,114,Kinji Fukasaku,Tatsuya Fujiwara,7.6
2012,103,Simon West,Sylvester Stallone,6.6
2011,88,Joe Cornish,John Boyega,6.6
2010,105,Ethan Maniquis,Danny Trejo,6.6
2008,118,D.J. Caruso,Shia LaBeouf,6.6
2008,113,Dennis Dugan,Adam Sandler,5.6
2008,105,Paul W.S. Anderson,Jason Statham,6.4
2022,96,Jared Cohn,Bruce Willis,3.7
2018,98,David Raymond,Henry Cavill,5.9
2021,94,Renny Harlin,Pierce Brosnan,4.4
2005,111,Guy Ritchie,Jason Statham,6.3
2017,132,S. Craig Zahler,Vince Vaughn,7.1
2022,105,Edward Drake,Bruce Willis,3.7
2008,115,Howard McCain,Jim Caviezel,6.2
2008,106,Wilson Yip,Donnie Yen,8.0
2014,132,Scott Waugh,Aaron Paul,6.4
2003,102,Robert Rodriguez,Antonio Banderas,6.3
2003,94,William Friedkin,Tommy Lee Jones,6.0
2006,139,Andrew Davis,Kevin Costner,6.9
2022,90,Richard Hughes,Antonio Banderas,5.2
2014,125,J.C. Chandor,Oscar Isaac,7.0
2002,101,Rob Bowman,Matthew McConaughey,6.2
2012,91,Lawrence Kasanoff,Hilary Duff,1.3
2021,108,Robert Lorenz,Katheryn Winnick,5.7
2011,104,Brett Ratner,Eddie Murphy,6.2
2009,79,Shane Acker,Elijah Wood,7.0
2013,116,Dean Parisot,Bruce Willis,6.6
2022,97,Anthony Hayes,Zac Efron,5.4
2008,96,Mark Waters,Freddie Highmore,6.5
2022,84,Zach Golden,Olga Kurylenko,4.7
2019,98,Jeff Chan,Kari Matchett,6.1
2016,97,Clay Kaytis,Jason Sudeikis,6.3
2014,118,Scott Derrickson,Eric Bana,6.2
2014,105,Paul W.S. Anderson,Kit Harington,5.5
2003,84,Robert Rodriguez,Daryl Sabara,4.3
2012,102,Asger Leth,Sam Worthington,6.6
2019,87,Alexandre Aja,Kaya Scodelario,6.1
2003,129,Lana Wachowski,Keanu Reeves,6.7
2011,117,Joe Carnahan,Liam Neeson,6.8
2018,123,Anthony Maras,Dev Patel,7.6
2010,103,Florian Henckel von Donnersmarck,Johnny Depp,6.0
2008,120,Guillermo del Toro,Ron Perlman,7.0
2011,93,Simon West,Jason Statham,6.5
2018,91,Mélanie Laurent,Ben Foster,6.2
2010,96,James Gunn,Rainn Wilson,6.7
2014,150,Gareth Evans,Iko Uwais,7.9
2015,95,Paco Cabezas,Anna Kendrick,6.3
2005,95,John Gulager,Navi Rawat,6.2
2013,100,Gary Fleder,Jason Statham,6.5
2005,93,Karyn Kusama,Charlize Theron,5.4
2002,105,Neil Marshall,Sean Pertwee,6.8
2013,113,Ruben Fleischer,Sean Penn,6.7
2004,94,Alexander Witt,Milla Jovovich,6.1
2014,104,Mark Waters,Zoey Deutch,5.4
2003,97,Ronny Yu,Robert Englund,5.7
2021,109,Jonathan Hensleigh,Liam Neeson,5.6
2018,111,Steven S. DeKnight,John Boyega,5.6
2007,96,Lee Tamahori,Nicolas Cage,6.2
2005,110,John Stockwell,Paul Walker,5.9
2012,97,Peter Ramsey,Hugh Jackman,7.2
2001,90,Brett Ratner,Jackie Chan,6.6
2016,96,Henry Joost,Emma Roberts,6.5
2002,116,Stuart Baird,Patrick Stewart,6.4
2014,102,Sergei Bodrov,Ben Barnes,5.5
2003,104,Peter Berg,Dwayne Johnson,6.6
2005,115,John Pasquin,Sandra Bullock,5.1
2015,102,Gavin Hood,Helen Mirren,7.3
2005,129,Martin Campbell,Antonio Banderas,5.9
2016,114,Cedric Nicolas-Troyan,Chris Hemsworth,6.1
2013,150,Gore Verbinski,Johnny Depp,6.4
2018,104,Jennifer Yuh Nelson,Amandla Stenberg,5.7
2011,89,Robert Rodriguez,Jessica Alba,3.5
2011,111,Joe Wright,Saoirse Ronan,6.8
2009,134,Clint Eastwood,Morgan Freeman,7.3
2011,83,Ruben Fleischer,Jesse Eisenberg,6.1
2012,105,Frank Coraci,Kevin James,6.4
2015,92,Simon West,Jason Statham,5.6
2013,112,Ric Roman Waugh,Dwayne Johnson,6.4
2005,101,Jon Favreau,Josh Hutcherson,6.2
2021,110,Brian Andrew Mendoza,Jason Momoa,5.5
2008,135,Lana Wachowski,Emile Hirsch,6.0
2001,124,Frank Oz,Robert De Niro,6.8
2003,116,Richard Donner,Paul Walker,5.6
2017,108,Coralie Fargeat,Matilda Anna Ingrid Lutz,6.4
2010,109,Jon Turteltaub,Nicolas Cage,6.1
2017,113,Martin Campbell,Katie Leung,7.0
2020,83,Roseanne Liang,Chloë Grace Moretz,5.0
2000,99,Patrick Lussier,Gerard Butler,4.9
2010,100,Robert Luketic,Katherine Heigl,5.4
2008,109,Roland Emmerich,Camilla Belle,5.1
2014,104,Luke Greenfield,Jake Johnson,6.4
2021,124,Magnus Martens,Sam Heughan,5.2
2019,107,Mike Mitchell,Chris Pratt,6.6
2009,90,Marcus Dunstan,Josh Stewart,6.3
2019,102,James Bobin,Isabela Merced,6.1
2022,107,Ron Yuan,Anna Akana,4.7
2011,146,Steven Spielberg,Jeremy Irvine,7.2
2006,141,Clint Eastwood,Ken Watanabe,7.9
2010,97,Sylvain White,Idris Elba,6.2
2020,100,Eshom Nelms,Mel Gibson,5.9
2000,107,Courtney Solomon,Justin Whalin,3.6
2013,90,Nicolas Winding Refn,Ryan Gosling,5.7
2006,106,Len Wiseman,Kate Beckinsale,6.7
2021,94,Paul Solet,Adrien Brody,5.6
2018,104,Jaume Collet-Serra,Liam Neeson,6.3
2016,92,Chuck Russell,John Travolta,5.4
2012,94,Brad Peyton,Josh Hutcherson,5.7
2006,105,David R. Ellis,Samuel L. Jackson,5.5
2001,99,Dominic Sena,John Travolta,6.5
2013,98,John Moore,Bruce Willis,5.2
2017,161,Ali Abbas Zafar,Salman Khan,5.9
2016,98,Dennis Gansel,Jason Statham,5.7
2022,98,Sean McNamara,Pierce Brosnan,5.1
2008,110,Peter Segal,Steve Carell,6.5
2015,105,Roar Uthaug,Kristoffer Joner,6.6
2003,121,Antoine Fuqua,Bruce Willis,6.6
2010,110,Andy Tennant,Jennifer Aniston,5.5
2013,125,Andrew Niccol,Saoirse Ronan,5.8
2005,118,Terry Gilliam,Matt Damon,5.9
2010,102,Ian Sharp,Ray Winstone,6.5
2022,94,Tibor Takács,Tom Berenger,4.8
2002,96,Simon Wells,Guy Pearce,6.0
2019,108,Deon Taylor,Naomie Harris,6.4
2014,114,Scott Frank,Liam Neeson,6.5
2007,94,Colin Strause,Reiko Aylesworth,4.6
2022,89,Millicent Shelton,Queen Latifah,4.8
2004,120,Frank Coraci,Jackie Chan,5.8
2016,117,Craig Gillespie,Chris Pine,6.7
2016,107,Paul W.S. Anderson,Milla Jovovich,5.5
2021,106,Ben Falcone,Melissa McCarthy,4.5
2015,96,Ilya Naishuller,Sharlto Copley,6.7
2008,105,Neil Marshall,Rhona Mitra,5.9
2003,117,Jan de Bont,Angelina Jolie,5.5
2012,92,Olivier Megaton,Liam Neeson,6.2
2022,98,Christian Sesma,Mickey Rourke,4.1
2000,99,Raja Gosnell,Martin Lawrence,5.2
2019,117,Ang Lee,Will Smith,5.7
2018,95,Mike P. Nelson,Kate Bosworth,5.7
2015,90,Jen Soska,Dean Cain,4.7
2019,120,Joe Cornish,Louis Ashbourne Serkis,6.1
2008,109,David Ayer,Keanu Reeves,6.8
2009,92,Patrick Tatopoulos,Rhona Mitra,6.5
2001,97,John Dahl,Steve Zahn,6.6
2014,103,James DeMonaco,Frank Grillo,6.4
2013,107,Robert Rodriguez,Danny Trejo,5.6
2018,103,Rob Cohen,Toby Kebbell,5.1
2005,105,Andrzej Bartkowiak,Karl Urban,5.2
2016,120,Hideaki Anno,Hiroki Hasegawa,6.8
2013,97,Jon S. Baird,James McAvoy,7.0
2015,93,Christopher Landon,Tye Sheridan,6.3
2020,99,Peter Segal,Dave Bautista,6.3
2016,133,Peter Berg,Mark Wahlberg,7.3
2021,141,Han Jae-rim,Song Kang-ho,6.9
2003,88,Dennis Dugan,Martin Lawrence,5.6
2017,120,Cédric Jimenez,Jason Clarke,6.4
2003,106,McG,Drew Barrymore,4.9
2016,91,Anna Foerster,Kate Beckinsale,5.7
2012,95,Paul W.S. Anderson,Milla Jovovich,5.3
2009,98,Michael Spierig,Ethan Hawke,6.4
2021,99,Randall Emmett,Emile Hirsch,4.5
2016,182,Zack Snyder,Amy Adams,7.1
2007,94,Russell Mulcahy,Milla Jovovich,6.2
2009,94,David Bowers,Freddie Highmore,6.2
2011,108,Olivier Megaton,Zoe Saldana,6.4
2016,133,Terry George,Oscar Isaac,6.0
2014,117,McG,Kevin Costner,6.2
2005,87,Louis Leterrier,Jason Statham,6.3
2003,119,John Woo,Ben Affleck,6.3
2001,126,Tony Scott,Robert Redford,7.0
2000,118,Roger Christian,John Travolta,2.5
2022,92,Johannes Hartmann,Alice Lucy,5.7
2013,107,Jee-woon Kim,Arnold Schwarzenegger,6.3
2016,120,Sean Ellis,Jamie Dornan,7.2
2014,109,David Ayer,Arnold Schwarzenegger,5.7
2015,96,Aleksander Bach,Rupert Friend,5.7
2005,97,Rob Bowman,Jennifer Garner,4.7
2009,102,Brad Silberling,Will Ferrell,5.3
2013,118,Taylor Hackford,Jason Statham,6.2
2022,96,Oliver Thompson,Chad Michael Collins,4.5
2011,116,Gary McKendry,Jason Statham,6.4
2006,98,Wolfgang Petersen,Richard Dreyfuss,5.7
2000,116,Jonathan Mostow,Matthew McConaughey,6.6
2016,161,Nitesh Tiwari,Aamir Khan,8.3
2014,108,Olivier Megaton,Liam Neeson,6.0
2022,90,Grant S. Johnson,Dermot Mulroney,3.9
2007,91,Brett Ratner,Jackie Chan,6.2
2020,103,Tomm Moore,Honor Kneafsey,8.0
2007,92,Tim Story,Ioan Gruffudd,5.6
2012,105,Timur Bekmambetov,Benjamin Walker,5.9
2009,96,Mark Neveldine,Jason Statham,6.1
2014,89,Steven Quale,Richard Armitage,5.8
2018,94,Drew Pearce,Jodie Foster,6.1
2013,102,Chris Wedge,Amanda Seyfried,6.6
2001,92,James Isaac,Kane Hodder,4.4
2018,117,Susanna Fogel,Justin Theroux,6.0
2009,93,Nicolas Winding Refn,Mads Mikkelsen,6.0
2005,103,Louis Leterrier,Jet Li,7.0
2008,95,John Madden,Thomas Jane,6.0
2003,115,Roger Donaldson,Al Pacino,6.6
2006,111,Paul Greengrass,David Alan Basche,7.6
2022,93,Sophia Banks,Jason Clarke,4.4
2019,109,Rupert Wyatt,John Goodman,6.0
2009,84,Scott Sanders,Michael Jai White,7.4
2011,116,Jonathan Liebesman,Aaron Eckhart,5.7
2014,91,David Hayter,Lucas Till,5.3
2017,101,Charlie Bean,Jackie Chan,6.0
2001,98,Chris Nahon,Jet Li,6.6
2016,123,Timur Bekmambetov,Jack Huston,5.7
2015,96,Nima Nourizadeh,Jesse Eisenberg,6.1
2022,112,Silvia Carobbio,Cara Delevingne,4.4
2000,99,John Singleton,Samuel L. Jackson,6.0
2018,108,Sam Levinson,Odessa Young,6.0
2010,96,Paul W.S. Anderson,Milla Jovovich,5.8
2019,111,Tim Story,Samuel L. Jackson,6.4
2005,106,Tony Giglio,Jason Statham,6.4
2002,101,Andrew Lau,Andy Lau,8.0
2022,90,Alejandro Monteverde,Jim Caviezel,7.7
2001,95,Bobby Farrelly,Laurence Fishburne,6.3
2021,78,Matt Peters,Justin Hartley,6.4
2004,97,Tim Story,Queen Latifah,4.5
2018,102,Rawson Marshall Thurber,Dwayne Johnson,5.8
2001,131,Rod Lurie,Robert Redford,6.9
2019,105,Kevin Smith,Joey Lauren Adams,5.6
2011,106,John Singleton,Taylor Lautner,5.1
2007,105,Rob Schneider,Rob Schneider,6.1
2018,109,Brad Anderson,Jon Hamm,6.5
2004,104,Pitof,Halle Berry,3.4
2019,102,Nick Bruno,Rachel Brosnahan,6.8
2020,116,Sang-ho Yeon,Gang Dong-won,5.5
2017,88,Doug Liman,Aaron Taylor-Johnson,6.2
2020,99,Mark Williams,Liam Neeson,6.0
2004,97,Brett Ratner,Pierce Brosnan,6.2
2016,107,Nic Mathieu,James Badge Dale,6.3
2000,130,Clint Eastwood,Clint Eastwood,6.5
2020,102,Dimitri Logothetis,Alain Moussi,2.9
2021,110,Nick Stagliano,Anson Mount,5.0
2014,88,Jonathan Milott,Elijah Wood,5.7
2018,91,Brian Henson,Melissa McCarthy,5.4
2010,104,Stuart Beattie,Caitlin Stasey,6.1
2021,123,Jude Weng,Kea Peahu,6.1
2012,93,Timo Vuorensola,Julia Dietze,5.9
2019,93,Michael Dowse,Dave Bautista,6.2
2008,104,Olivier Megaton,Jason Statham,6.0
2016,108,James DeMonaco,Frank Grillo,6.0
2010,97,Neil Marshall,Michael Fassbender,6.3
2018,96,Albert Hughes,Kodi Smit-McPhee,6.6
2016,101,Travis Knight,Charlize Theron,7.7
2005,113,Florent-Emilio Siri,Bruce Willis,6.5
2022,120,Loukman Ali,Jide Kene Achufusi,5.2
2011,96,Mark Neveldine,Nicolas Cage,4.3
2005,121,Rob Cohen,Josh Lucas,5.1
2019,87,Jesse V. Johnson,Scott Adkins,6.6
2016,102,David Lowery,Bryce Dallas Howard,6.7
2019,97,Thurop Van Orman,Jason Sudeikis,6.4
2006,108,Clark Johnson,Michael Douglas,6.1
2016,107,Steven C. Miller,Bruce Willis,5.5
2012,132,Mathur Goswami,Salman Khan,5.5
2002,99,Ellory Elkayem,David Arquette,5.5
2011,102,David Gordon Green,Danny McBride,5.5
2012,94,Boaz Yakin,Jason Statham,6.5
2008,100,John Moore,Mark Wahlberg,5.3
2002,100,Robert Rodriguez,Alexa PenaVega,5.2
2009,111,Paul McGuigan,Camilla Belle,6.1
2019,120,Oleg Stepchenko,Jason Flemyng,4.7
2020,93,Robin Pront,Nikolaj Coster-Waldau,6.2
2001,116,Renny Harlin,Sylvester Stallone,4.6
2013,100,Steven Knight,Jason Statham,6.2
2003,87,Peter Howitt,Rowan Atkinson,6.2
2018,107,Eli Roth,Bruce Willis,6.3
2021,108,Lindsay Gossling,Paz Vega,4.7
2022,96,Mike Burns,Bruce Willis,3.7
2022,91,Daniel Zirilli,Patsy Kensit,4.3
2019,104,Riley Stearns,Jesse Eisenberg,6.6
2014,99,Tim Story,Ice Cube,6.1
2021,99,David Hackl,Scott Eastwood,5.1
2001,109,David Mamet,Gene Hackman,6.5
2011,129,Marc Forster,Gerard Butler,6.7
2008,103,Frank Miller,Gabriel Macht,4.7
2007,127,Uwe Boll,Jason Statham,3.8
2007,101,Doug Lefler,Colin Firth,5.4
2010,119,Jeong-beom Lee,Won Bin,7.7
2012,91,Julie Anne Robinson,Katherine Heigl,5.3
2014,99,Yann Demange,Jack O'Connell,7.2
2016,88,Jean-François Richet,Mel Gibson,6.4
2010,117,Martin Campbell,Mel Gibson,6.6
2000,115,Andrzej Bartkowiak,Jet Li,6.1
2019,118,Kriv Stenders,Travis Fimmel,6.8
2022,130,Michael B. Chait,James Maslow,3.8
2000,94,Don Bluth,Matt Damon,6.6
2016,105,Greg Mottola,Zach Galifianakis,5.9
2015,107,David Koepp,Johnny Depp,5.5
2022,88,R. Ellis Frazier,Tom Berenger,7.1
2011,93,Steven Soderbergh,Gina Carano,5.8
2001,129,Takashi Miike,Tadanobu Asano,7.0
2007,86,Michael Davis,Clive Owen,6.6
2009,118,Tom Tykwer,Clive Owen,6.5
2019,100,Tom Harper,Felicity Jones,6.6
2018,121,Karyn Kusama,Nicole Kidman,6.2
2022,96,George Kirby,Scott Adkins,5.9
2005,95,Uwe Boll,Kristanna Loken,2.9
2018,89,David Kerr,Rowan Atkinson,6.2
2009,91,Steve Carr,Kevin James,5.2
2021,114,Mikael Håfström,Anthony Mackie,5.4
2012,99,Jonathan Liebesman,Sam Worthington,5.7
2017,95,Luis Prieto,Halle Berry,5.9
2007,99,Marcus Nispel,Karl Urban,5.4
2019,107,Wilson Yip,Donnie Yen,7.0
2015,96,James McTeigue,Milla Jovovich,5.6
2020,93,Eugene Kotlyarenko,Joe Keery,5.9
2007,110,Peter Berg,Jamie Foxx,7.0
2022,92,Jesse V. Johnson,Bruce Willis,4.4
2009,84,David Pastor,Chris Pine,6.0
2022,88,Michael Flatley,Michael Flatley,3.2
2012,82,Marcus Dunstan,Josh Stewart,6.1
2004,91,Angela Robinson,Sara Foster,5.3
2016,98,Tod Williams,John Cusack,4.4
2008,103,Lexi Alexander,Ray Stevenson,5.9
2018,117,Thomas Vinterberg,Matthias Schoenaerts,6.6
2008,104,Rob Minkoff,Jackie Chan,6.5
2014,92,Kristian Levring,Mads Mikkelsen,6.7
2019,115,Rob Zombie,Sheri Moon Zombie,5.4
2004,94,David R. Ellis,Kim Basinger,6.5
2003,105,Prachya Pinkaew,Tony Jaa,7.1
2005,109,Jean-François Richet,Ethan Hawke,6.3
2018,96,Steven C. Miller,Sylvester Stallone,3.8
2000,106,Antony Hoffman,Val Kilmer,5.7
2016,88,Kevin Smith,Lily-Rose Depp,4.2
2000,110,Tom Dey,Jackie Chan,6.6
2017,86,Joe Lynch,Steven Yeun,6.4
2004,106,Kerry Conran,Gwyneth Paltrow,6.1
2013,106,J.C. Chandor,Robert Redford,6.9
2015,115,Pierre Morel,Sean Penn,5.8
2012,91,David Koepp,Joseph Gordon-Levitt,6.5
2014,108,John Stockwell,Gina Carano,5.7
2017,89,David Soren,Kevin Hart,6.2
2007,113,Scott Wiper,Steve Austin,6.0
2019,109,Won-Tae Lee,Ma Dong-seok,6.9
2020,106,Ben Falcone,Melissa McCarthy,5.4
2012,93,Kimble Rendall,Xavier Samuel,5.2
2011,110,Rod Lurie,James Marsden,5.8
2017,87,Isaac Florentine,Antonio Banderas,5.7
2008,115,Ed Harris,Ed Harris,6.7
2017,137,Hun Jang,Song Kang-ho,7.9
2022,109,Luc Picard,Luc Picard,6.4
2010,102,Christopher Smith,Eddie Redmayne,6.4
2012,88,Måns Mårlind,Kate Beckinsale,6.3
2011,87,Scott Stewart,Paul Bettany,5.7
2004,113,John Moore,Dennis Quaid,6.1
2017,87,Mark Dennis,Reiley McClendon,6.2
2001,87,James Wong,Jet Li,5.9
2002,97,Charles Stone III,Mekhi Phifer,7.0
2019,95,Martin Owen,Tommy Flanagan,4.1
2016,100,Peter Atencio,Keegan-Michael Key,6.2
2011,100,Morten Tyldum,Aksel Hennie,7.5
2016,113,Ang Lee,Joe Alwyn,6.2
2007,105,James Wan,Kevin Bacon,6.7
2007,115,José Padilha,Wagner Moura,8.0
2005,127,Tony Scott,Keira Knightley,5.9
2006,93,Joachim Rønning,Penélope Cruz,5.7
2011,101,Oliver Parker,Rowan Atkinson,6.3
2009,98,Andy Fickman,Dwayne Johnson,5.7
2003,109,F. Gary Gray,Vin Diesel,6.0
2003,102,Harald Zwart,Frankie Muniz,5.1
2000,96,Vic Sarin,Kirk Cameron,4.3
2011,95,Ben Wheatley,Neil Maskell,6.4
2014,103,David Michôd,Guy Pearce,6.4
2004,136,Joe Johnston,Viggo Mortensen,6.7
2009,92,Harald Zwart,Steve Martin,5.6
2017,93,Antonio Negret,Scott Eastwood,5.3
2017,98,Michael Apted,Noomi Rapace,6.3
2015,114,Jaume Collet-Serra,Liam Neeson,6.6
2012,125,Anthony Hemingway,Cuba Gooding Jr.,5.9
2016,139,Gary Ross,Matthew McConaughey,6.9
2018,72,Suzi Yoonessi,Sarah Jeffery,4.1
2019,99,Roger Avary,Luke Bracey,5.1
2006,247,Quentin Tarantino,Uma Thurman,8.8
2002,81,Steve Oedekerk,Steve Oedekerk,6.2
2018,97,Gerard McMurray,Y'lan Noel,5.2
2010,97,Zack Snyder,Jim Sturgess,6.9
2001,98,John Carpenter,Natasha Henstridge,4.9
2015,117,Tarsem Singh,Ryan Reynolds,6.5
2007,122,Neil Jordan,Jodie Foster,6.7
2007,87,Kevin Munroe,Patrick Stewart,6.2
2018,96,Bobby Moresco,Karl Urban,5.2
2012,110,Mike McCoy,Alex Veadov,6.4
2022,118,Shinji Higuchi,Takumi Saitoh,6.5
2007,90,David Nerlich,Diana Glenn,5.8
2015,86,Brian James O'Connell,Fran Kranz,5.7
2018,156,Prashanth Neel,Yash,8.2
2009,99,James McTeigue,Rain,6.3
2000,123,Roger Spottiswoode,Arnold Schwarzenegger,5.9
2012,101,Rob Cohen,Tyler Perry,5.1
2008,114,Rian Johnson,Rachel Weisz,6.7
2018,94,Lin Oeding,Jason Momoa,5.9
2011,88,Kevin Smith,Michael Parks,6.1
2012,95,RZA,Russell Crowe,5.4
2014,108,Roger Donaldson,Pierce Brosnan,6.2
2010,115,Paul Greengrass,Matt Damon,6.8
2019,104,Catherine Hardwicke,Gina Rodriguez,5.8
2010,111,Miguel Sapochnik,Jude Law,6.3
2016,76,Sam Liu,Kevin Conroy,6.4
