year,runtime,director,star,rating
2019,104,Dean DeBlois,Jay Baruchel,7.4
2010,95,Tom McGrath,Will Ferrell,7.3
2018,130,Nicolai Fuglsig,Chris Hemsworth,6.5
2017,118,Jordan Vogt-Roberts,Tom Hiddleston,6.6
2015,131,Wes Ball,Dylan O'Brien,6.3
2014,101,Jonathan Liebesman,Megan Fox,5.8
2015,100,Josh Trank,Miles Teller,4.3
2018,107,Shane Black,Boyd Holbrook,5.3
2002,133,Lee Tamahori,Pierce Brosnan,6.1
2020,111,Peter Berg,Mark Wahlberg,6.2
2018,75,Brendan Steere,Greg Cohan,5.0
2010,124,David Slade,Kristen Stewart,5.0
2009,85,James Wong,Justin Chatwin,2.5
2019,89,Adrian Grunberg,Sylvester Stallone,6.1
2018,143,Wes Ball,Dylan O'Brien,6.2
2012,115,Daniel Espinosa,Denzel Washington,6.7
2021,107,Joe Carnahan,Gerard Butler,6.2
2014,123,Gareth Edwards,Aaron Taylor-Johnson,6.4
2003,138,Lana Wachowski,Keanu Reeves,7.2
2004,122,Guillermo del Toro,Ron Perlman,6.8
2015,130,Brad Bird,George Clooney,6.4
2007,105,Robert Rodriguez,Rose McGowan,7.1
2006,108,Joe Carnahan,Jeremy Piven,6.6
2004,108,Paul Greengrass,Matt Damon,7.7
2019,104,Rob Letterman,Ryan Reynolds,6.5
2005,164,Steven Spielberg,Eric Bana,7.5
2021,109,Stefano Sollima,Michael B. Jordan,5.8
2005,109,John Singleton,Mark Wahlberg,6.8
2016,92,Stewart Hendler,Ben Winchell,4.6
2010,103,Sylvester Stallone,Sylvester Stallone,6.4
2013,100,M. Night Shyamalan,Jaden Smith,4.8
2000,118,Dominic Sena,Nicolas Cage,6.5
2016,121,Ron Howard,Tom Hanks,6.2
2010,106,Louis Leterrier,Sam Worthington,5.8
2017,107,Rupert Sanders,Scarlett Johansson,6.3
2014,112,Evan Goldberg,James Franco,6.5
2013,132,J.J. Abrams,Chris Pine,7.7
2014,138,Darren Aronofsky,Russell Crowe,5.8
2016,110,David Yates,Alexander Skarsgård,6.2
2006,126,Tony Scott,Denzel Washington,7.1
2004,124,Jonathan Hensleigh,Thomas Jane,6.4
2022,98,Chris Bailey,Michael Cera,5.7
2007,124,Jon Turteltaub,Nicolas Cage,6.5
2019,99,Ruben Fleischer,Woody Harrelson,6.7
2011,110,Paul W.S. Anderson,Logan Lerman,5.7
2012,118,Len Wiseman,Colin Farrell,6.2
2019,113,Andrea Di Stefano,Joel Kinnaman,6.6
2007,110,Mark Steven Johnson,Nicolas Cage,5.2
2016,124,Robert Zemeckis,Brad Pitt,7.1
2000,130,Wolfgang Petersen,George Clooney,6.5
2013,114,Gavin Hood,Harrison Ford,6.6
