movie_id,year,certificate,runtime,director,star,rating
tt7426504,2018,,,Jake Silberman,,
tt1844760,2017.0,,,George C. Romero,"Tom Sizemore, 
B.J. Hendricks, 
Ford Austin, 
Josh Carmichael",5.6
tt2878060,2013.0,R,57 min,Ivan Pavletic,"Ivan Pavletic, 
Ed Portoghese, 
Laramie Williams, 
Benjamin Kroger",7.8
tt10432002,2019.0,,,Chris Aylmer,"Glenn Mulhern, 
Jessie Arora, 
Chris Aylmer, 
David Bacque",
tt1859578,2011.0,,95 min,Bill Little,"Mike Mitchell, 
Roberta Childs, 
Bill Little, 
Stuart Falconer",6.4
tt3178992,2015.0,,66 min,Franklin Correa,"Franklin Correa, 
Crystal T. Williams, 
Lester Greene, 
Herve Fontaine",4.5
tt1805236,2010.0,,,Gary Ambrosia,"Leigh Amanda, 
Chad Bennett, 
Bryan Billy Boone, 
Wade Harlan",5.6
tt1800301,2011.0,,82 min,Dan Jimenez,"Al Bianchi, 
Thomas Brown, 
Gerry Cheney, 
Rabbit Duran",7.2
tt3417314,2014.0,,148 min,Ebony Wilson,"Jessica Angeline, 
Toochukwu T.C. Anyachonkeya, 
Hunter Bolton, 
Bryan Chassereau",4.1
tt4699434,2016.0,,95 min,Mj Dixon,"Francesca Louise White, 
Luna Wolf, 
Sophie Portman, 
Sam Cullingworth",4.4
tt13503124,2019.0,Not Rated,80 min,Aleksa Slusarchi,Aleksa Slusarchi,
tt15689512,2019.0,,90 min,Fred Carpenter,"Elke Blasi, 
Jerry Brown, 
Kevin Dotcom Brown, 
Theresa Cannistraci-Farrell",8.8
tt4906726,2016,,,Sergei Tumas,"Eric Roberts, 
Oksana Grigorieva, 
James DePaul",
tt15030140,2021.0,,,John Francis McCullagh,"John Francis McCullagh, 
Angel Rodriguez, 
Brandon Yates, 
Josh Weinstein",
tt11834890,2021.0,,96 min,Dorie Barton,"Richard Follin, 
Dillon Douglasson, 
Keegan Garant, 
Christopher Martin",4.2
tt1599370,2010.0,,107 min,Alvin Gray,"Jerome Ro Brooks, 
Brandon Bryant, 
Tiffany Chambers, 
Doug Chase",
tt3882378,2017.0,,90 min,Damian Perkins,"José Solano, 
Carlos Ramirez, 
Steve Crest, 
Talon Reid",8.0
tt4096726,2016,,,Sean Wyn,"Shayla Beesley, 
Steve Crest, 
Ivan Djurovic, 
Roberta Geremicca Galatz",
tt14870870,2021.0,,,Eric B. Ramsey,"Andray Johnson, 
Kelvin Davis, 
Crystal Coney, 
Anika C. McFall",
tt21962250,2022.0,Not Rated,99 min,Andrew Legatt,"Carter Luedtke, 
Stephen Legatt, 
Andrew Legatt, 
Dominic Clemons",
tt1479244,2019,,,,,
tt1213590,2010.0,R,85 min,Coier Amerson,"Emily Tremaine, 
Thomas R. Baker, 
Arnold Chun, 
Shana Dowdeswell",
tt15709084,2022.0,,,Yuji Makino,"Shin Koyamada, 
Kiki Sukezane, 
TJ Kayama, 
Saki",
tt1477704,2012.0,Not Rated,86 min,"Tobias Canto Jr., 
Tyrel Good","Chelsea Bowdren, 
Christi Cordova, 
Ryan DeLuca, 
Dana DiRado",2.6
tt1488604,2009.0,,90 min,"Djonny Chen, 
Paul Knight","Jamie O'Keefe, 
Laura Meakin, 
Paul Knight, 
Zowie Vince",4.7
tt7645442,2021.0,,84 min,"Nancy Vazquez, 
Michele Frantzeskos","Nancy Vazquez, 
Michele Frantzeskos, 
Alana Johnson, 
Kereem Vargas",4.7
tt12484660,2019.0,,64 min,"Jaloni Jackson, 
Robert Slocum","Darin 'Good Looking Jones' Austin, 
Blm Richie 2X, 
Davian Arnold, 
Frederick Barnes",
