year,runtime,director_count,star_count,rating_class
2009,98,2,20,2
2003,109,5,16,2
2003,102,4,3,2
2000,96,1,2,2
2011,95,2,1,3
2014,103,1,5,3
2004,136,3,3,3
2009,92,4,1,2
2017,93,2,5,2
2017,98,1,2,3
2015,114,7,16,3
2012,125,1,12,2
2016,139,3,6,3
2018,72,1,1,2
2019,99,1,1,2
2006,247,3,3,4
2002,81,1,1,3
2018,97,1,1,2
2010,97,11,2,3
2001,98,1,3,2
2015,117,2,12,3
2007,122,2,2,3
2007,87,3,8,3
2018,96,1,4,2
2012,110,1,1,3
2022,118,2,1,3
2007,90,1,1,2
2015,86,1,1,2
2018,156,1,1,4
2009,99,4,1,3
2000,123,1,6,2
2012,101,7,2,2
2008,114,3,1,3
2018,94,1,4,2
2011,88,4,1,3
2012,95,2,10,2
2014,108,3,6,3
2010,115,7,10,3
2019,104,1,1,2
2010,111,1,2,3
2016,76,6,2,3
2003,98,2,8,3
2021,141,1,1,2
2011,89,1,6,2
2006,125,3,6,3
2022,97,1,2,1
2005,116,7,9,3
2014,99,7,5,2
2016,95,1,1,3
2014,101,1,1,2
2019,124,2,1,2
2017,86,1,2,3
2021,96,2,8,2
2015,92,1,1,2
2002,95,1,3,1
2008,90,2,5,3
2015,87,1,3,2
2016,91,2,4,3
2011,119,1,2,2
2011,97,1,20,3
2000,104,1,10,2
2001,82,1,1,2
2011,95,4,27,2
2019,97,3,14,2
2004,84,1,1,2
2018,91,2,2,3
2003,89,1,1,2
2010,94,2,4,1
2015,90,1,1,2
2016,93,1,2,2
2011,86,1,1,3
2012,100,1,1,3
2011,107,2,3,2
2022,87,1,1,1
2021,96,3,15,2
2014,92,2,5,2
2007,93,1,7,2
2012,118,4,1,3
2017,91,4,8,2
2021,88,6,5,1
2017,97,1,1,3
2010,107,4,28,2
2021,87,1,1,1
2008,90,1,16,2
2014,108,3,1,3
2009,132,13,2,3
2020,134,1,1,2
2011,107,1,4,2
2009,129,2,2,3
2022,88,4,10,1
2009,103,1,1,3
2010,118,1,1,3
2010,92,4,8,3
2018,105,14,15,3
2006,104,3,7,3
2002,86,1,2,2
2009,108,7,3,2
2020,123,2,2,2
2009,93,1,6,3
2009,96,7,1,1
2021,99,4,6,1
2021,92,1,1,2
2002,108,2,6,2
2021,91,4,3,1
2020,115,1,1,2
2016,107,3,1,3
2010,94,2,20,2
2017,94,1,2,3
2019,99,2,4,2
2008,98,1,1,2
2016,104,2,2,2
2011,114,2,7,3
2017,92,1,1,2
2009,88,1,2,2
2021,85,3,3,3
2009,102,1,1,3
2020,92,1,1,1
2021,97,3,1,1
2006,93,2,12,2
2012,100,1,5,2
2011,121,3,1,3
2018,86,1,28,2
2019,131,1,1,3
2011,99,1,1,2
2012,94,1,2,2
2020,91,1,6,2
2001,87,1,3,2
2022,89,1,1,1
2014,110,2,9,2
2007,117,1,2,3
2012,104,1,1,3
2010,92,2,2,2
2011,148,1,1,3
2018,104,3,3,2
2022,105,1,3,1
2014,109,1,10,2
2017,116,1,3,3
2014,90,1,6,2
2022,96,5,3,1
2020,105,5,5,2
2001,125,2,3,2
2005,101,3,4,2
2016,107,7,20,2
2007,84,1,1,2
2005,132,2,1,3
2021,120,1,3,2
2019,89,4,5,1
2019,88,4,4,2
2002,134,4,27,3
2022,153,2,1,4
2002,110,6,2,3
2017,90,1,1,2
2002,105,4,2,3
2003,114,1,20,3
2022,95,1,3,2
2012,96,2,7,3
2022,105,1,1,2
2017,107,4,20,2
2000,119,4,4,3
2016,102,6,4,2
2013,94,3,3,2
2002,132,1,3,3
2002,98,1,20,2
2013,110,3,3,3
2012,93,2,6,2
2019,98,8,5,2
2005,96,16,7,1
2016,128,3,27,2
2020,93,3,2,3
2001,101,7,16,2
2003,90,16,1,1
2013,86,3,4,2
2016,96,2,10,3
2022,92,1,1,2
2016,80,1,8,3
2018,104,1,1,2
2002,94,3,9,3
2008,186,1,4,3
2001,95,1,1,2
2022,82,2,1,3
2015,94,2,3,2
2014,92,3,1,2
2017,111,1,2,3
2009,118,1,8,3
2007,100,16,1,2
2014,93,3,1,3
2014,97,4,2,2
2021,84,1,3,3
2017,116,1,2,3
2007,119,5,1,3
2010,90,1,1,2
2015,96,1,1,2
2009,86,1,1,2
2010,108,5,10,3
2006,84,1,2,2
2009,105,3,7,2
2016,81,2,2,2
2018,111,1,1,3
2015,110,1,1,3
2006,93,1,2,2
2021,97,1,1,3
2016,95,3,2,2
2014,85,1,1,2
2015,127,3,20,2
2010,81,1,3,2
2010,98,1,1,3
2015,104,2,2,3
2008,113,4,3,3
2015,97,4,8,2
2014,153,1,7,2
2017,109,1,20,2
2019,102,1,6,2
2019,85,5,16,1
2012,92,3,14,2
2012,95,1,5,2
2018,102,1,8,2
2006,115,1,6,3
2000,110,1,1,3
2018,84,1,1,3
2018,116,1,1,2
2006,92,1,3,2
2016,102,2,4,3
2008,110,1,2,2
2011,108,3,1,2
2012,109,5,16,3
2021,93,6,3,1
2018,89,3,1,2
2016,104,1,6,3
2004,97,2,2,2
2013,90,1,1,3
2013,141,3,1,3
2022,93,1,5,1
2005,111,5,5,3
2019,89,1,2,2
2013,95,1,1,2
2018,96,3,1,2
2015,115,1,5,3
2013,127,1,5,3
